age,year,startmonth,endmonth,string,b0,b1,b2,b3,b4,b5,b6,b7,
25-54,1988,1,12,1/1987-12/1988,0.6701,0.1230,0.0370,0.0000,0.0115,0.1184,0.0099,0.0301,1
<25,1987,1,12,1/1986-12/1987,0.3789,0.2047,0.0772,0.0000,0.0036,0.0613,0.2146,0.0598,1
25-35,1987,1,12,1/1986-12/1987,0.6616,0.1224,0.0505,0.0000,0.0063,0.1200,0.0159,0.0235,1
35-44,1987,1,12,1/1986-12/1987,0.6777,0.1290,0.0377,0.0000,0.0101,0.1121,0.0070,0.0266,1
45-54,1987,1,12,1/1986-12/1987,0.6328,0.1229,0.0314,0.0000,0.0196,0.1443,0.0030,0.0460,1
>54,1987,1,12,1/1986-12/1987,0.2699,0.0991,0.0128,0.0000,0.0290,0.2721,0.0007,0.3164,1
25-54,1987,1,12,1/1986-12/1987,0.6603,0.1247,0.0417,0.0000,0.0107,0.1230,0.0098,0.0298,1
<25,1986,1,12,1/1985-12/1986,0.3754,0.2009,0.0846,0.0000,0.0028,0.0642,0.2149,0.0572,1
25-35,1986,1,12,1/1985-12/1986,0.6526,0.1208,0.0575,0.0000,0.0053,0.1238,0.0163,0.0236,1
35-44,1986,1,12,1/1985-12/1986,0.6683,0.1282,0.0418,0.0000,0.0096,0.1199,0.0066,0.0257,1
45-54,1986,1,12,1/1985-12/1986,0.6241,0.1236,0.0345,0.0000,0.0178,0.1512,0.0028,0.0461,1
>54,1986,1,12,1/1985-12/1986,0.2686,0.0977,0.0150,0.0000,0.0281,0.2803,0.0008,0.3095,1
25-54,1986,1,12,1/1985-12/1986,0.6512,0.1239,0.0468,0.0000,0.0097,0.1289,0.0099,0.0296,1
<25,1985,1,12,1/1984-12/1985,0.3733,0.1983,0.0857,0.0000,0.0025,0.0659,0.2130,0.0612,1
25-35,1985,1,12,1/1984-12/1985,0.6485,0.1211,0.0574,0.0000,0.0052,0.1277,0.0162,0.0239,1
35-44,1985,1,12,1/1984-12/1985,0.6617,0.1287,0.0426,0.0000,0.0085,0.1267,0.0063,0.0255,1
45-54,1985,1,12,1/1984-12/1985,0.6178,0.1207,0.0359,0.0000,0.0171,0.1600,0.0027,0.0458,1
>54,1985,1,12,1/1984-12/1985,0.2701,0.0975,0.0155,0.0000,0.0275,0.2910,0.0007,0.2976,1
25-54,1985,1,12,1/1984-12/1985,0.6456,0.1235,0.0474,0.0000,0.0091,0.1350,0.0097,0.0296,1
<25,1984,1,12,1/1983-12/1984,0.3714,0.1974,0.0884,0.0000,0.0024,0.0676,0.2133,0.0594,1
